,Unnamed: 0,algorithm,num_nodes,ratio_fraction,domain_size,sample_size,trial,time,equiv,precision,recall,f1,pure,structural
81,81,MIIC,5,1.1,3,250,2,0.0015060901641845,False,1.0,0.25,0.4,3,4
82,82,GHC,5,1.1,3,250,2,0.0085630416870117,False,1.0,0.25,0.4,3,4
83,83,FCI,5,1.1,3,250,2,0.0011031627655029,False,1.0,0.25,0.4,3,4
84,84,MIIC,5,1.1,3,250,3,0.0019629001617431,False,1.0,1.0,1.0,0,0
85,85,GHC,5,1.1,3,250,3,0.0111689567565917,False,0.8333333333333334,1.0,0.9090909090909092,1,1
86,86,FCI,5,1.1,3,250,3,0.0023560523986816,False,0.0,0.0,0.0,0,0
87,87,MIIC,5,1.1,3,250,4,0.0018668174743652,False,1.0,0.8,0.888888888888889,1,1
88,88,GHC,5,1.1,3,250,4,0.0097260475158691,False,1.0,0.8,0.888888888888889,1,3
89,89,FCI,5,1.1,3,250,4,0.0032057762145996,False,0.0,0.0,0.0,0,0
90,90,MIIC,5,1.1,3,500,0,0.001936912536621,False,1.0,0.8,0.888888888888889,1,5
91,91,GHC,5,1.1,3,500,0,0.0102279186248779,False,1.0,0.8,0.888888888888889,1,1
92,92,FCI,5,1.1,3,500,0,0.0042402744293212,False,0.0,0.0,0.0,0,0
93,93,MIIC,5,1.1,3,500,1,0.0018718242645263,False,1.0,1.0,1.0,0,0
94,94,GHC,5,1.1,3,500,1,0.0108389854431152,False,1.0,1.0,1.0,0,0
95,95,FCI,5,1.1,3,500,1,0.002338171005249,False,0.0,0.0,0.0,0,0
96,96,MIIC,5,1.1,3,500,2,0.0018291473388671,False,1.0,1.0,1.0,0,0
97,97,GHC,5,1.1,3,500,2,0.0103139877319335,False,1.0,1.0,1.0,0,0
98,98,FCI,5,1.1,3,500,2,0.0037066936492919,False,0.0,0.0,0.0,0,0
99,99,MIIC,5,1.1,3,500,3,0.0019099712371826,False,1.0,1.0,1.0,0,0
100,100,GHC,5,1.1,3,500,3,0.0107688903808593,False,1.0,1.0,1.0,0,0
101,101,FCI,5,1.1,3,500,3,0.0015170574188232,False,0.0,0.0,0.0,0,0
102,102,MIIC,5,1.1,3,500,4,0.0015289783477783,False,1.0,0.6,0.7499999999999999,2,2
103,103,GHC,5,1.1,3,500,4,0.0097200870513916,False,1.0,0.8,0.888888888888889,1,3
104,104,FCI,5,1.1,3,500,4,0.0016431808471679,False,0.0,0.0,0.0,0,0
105,105,MIIC,5,1.1,3,1000,0,0.0022549629211425,False,1.0,1.0,1.0,0,0
106,106,GHC,5,1.1,3,1000,0,0.0106868743896484,False,1.0,1.0,1.0,0,0
107,107,FCI,5,1.1,3,1000,0,0.0026209354400634,False,0.0,0.0,0.0,0,0
108,108,MIIC,5,1.1,3,1000,1,0.0019168853759765,False,1.0,0.8,0.888888888888889,1,3
109,109,GHC,5,1.1,3,1000,1,0.0112650394439697,False,0.7142857142857143,1.0,0.8333333333333333,2,4
110,110,FCI,5,1.1,3,1000,1,0.0019788742065429,False,0.0,0.0,0.0,0,0
111,111,MIIC,5,1.1,3,1000,2,0.001619815826416,False,1.0,0.4,0.5714285714285715,3,3
112,112,GHC,5,1.1,3,1000,2,0.0090420246124267,False,1.0,0.4,0.5714285714285715,3,3
