,algorithm,num_nodes,ratio_fraction,domain_size,sample_size,trial,time,equiv,precision,recall,f1,pure,structural
253,GHC,5,1.3,3,100,4,0.011730194091796875,False,1.0,0.75,0.8571428571428571,1,1
254,FCI,5,1.3,3,100,4,0.0012969970703125,False,1.0,0.75,0.8571428571428571,1,1
255,MIIC,5,1.3,3,250,0,0.0013151168823242188,False,1.0,0.4,0.5714285714285715,3,3
256,GHC,5,1.3,3,250,0,0.008835077285766602,False,1.0,0.4,0.5714285714285715,3,3
257,FCI,5,1.3,3,250,0,0.0009148120880126953,False,1.0,0.4,0.5714285714285715,3,3
258,MIIC,5,1.3,3,250,1,0.0014617443084716797,False,1.0,0.6,0.7499999999999999,2,4
259,GHC,5,1.3,3,250,1,0.009546041488647461,False,1.0,0.6,0.7499999999999999,2,2
260,FCI,5,1.3,3,250,1,0.0015420913696289062,False,-1.0,-1.0,-1.0,-1,-1
261,MIIC,5,1.3,3,250,2,0.0013461112976074219,False,1.0,0.3333333333333333,0.5,4,4
262,GHC,5,1.3,3,250,2,0.009205102920532227,False,1.0,0.3333333333333333,0.5,4,4
263,FCI,5,1.3,3,250,2,0.0006949901580810547,False,1.0,0.16666666666666666,0.2857142857142857,5,5
264,MIIC,5,1.3,3,250,3,0.001622915267944336,False,1.0,0.6,0.7499999999999999,2,2
265,GHC,5,1.3,3,250,3,0.0097808837890625,False,1.0,0.6,0.7499999999999999,2,2
266,FCI,5,1.3,3,250,3,0.0013570785522460938,False,-1.0,-1.0,-1.0,-1,-1
267,MIIC,5,1.3,3,250,4,0.0013580322265625,False,1.0,0.5,0.6666666666666666,2,2
268,GHC,5,1.3,3,250,4,0.008836984634399414,False,1.0,0.5,0.6666666666666666,2,2
269,FCI,5,1.3,3,250,4,0.001661062240600586,False,-1.0,-1.0,-1.0,-1,-1
270,MIIC,5,1.3,3,500,0,0.0017647743225097656,False,1.0,0.8,0.888888888888889,1,1
271,GHC,5,1.3,3,500,0,0.01051473617553711,False,1.0,0.8,0.888888888888889,1,1
272,FCI,5,1.3,3,500,0,0.001950979232788086,False,-1.0,-1.0,-1.0,-1,-1
273,MIIC,5,1.3,3,500,1,0.0017511844635009766,False,1.0,0.8,0.888888888888889,1,1
